id	name	chi2	pval
281	7-syntactic_feature__root_word__next_user_utterance__number	62.2931	0.0000
282	6-entity_feature__entity__next_system_utterance__Spanish_MISC	62.0904	0.0000
283	4.1-ngram.next_system_utterance__looking example cheap	61.9957	0.0000
284	4.1-ngram.next_system_utterance__example cheap	61.9957	0.0000
285	5-phrase_feature__noun_phrases__current_user_utterance__care	61.9551	0.0000
286	6-entity_feature__entity__next_system_utterance__25_NUMBER	61.8486	0.0000
287	5-phrase_feature__noun_phrases__current_user_utterance__hill	61.7570	0.0000
288	4.1-ngram.next_user_utterance__doesnt	61.5547	0.0000
289	5-phrase_feature__noun_phrases__current_user_utterance__castle_hill	61.4254	0.0000
290	5-phrase_feature__noun_phrases__next_system_utterance__romsey_area	61.4067	0.0000
291	5-phrase_feature__noun_phrases__next_system_utterance__arbury	61.3745	0.0000
292	4.1-ngram.current_user_utterance__whats address	60.8837	0.0000
293	6-entity_feature__entity__next_system_utterance__Chinese_MISC	60.6380	0.0000
294	5-phrase_feature__noun_phrases__next_system_utterance__price	60.5601	0.0000
295	5-phrase_feature__noun_phrases__next_system_utterance__international	60.0927	0.0000
296	7-syntactic_feature__root_word__next_user_utterance__it	59.9446	0.0000
297	7-syntactic_feature__root_word__current_user_utterance__may	59.8093	0.0000
298	6-entity_feature__entity__next_system_utterance__Romsey_LOCATION	59.7694	0.0000
299	5-phrase_feature__noun_phrases__current_user_utterance__venue	59.2577	0.0000
300	7-syntactic_feature__obj_word__next_system_utterance__area	58.9896	0.0000
301	4.1-ngram.current_user_utterance__postcode	58.5237	0.0000
302	7-syntactic_feature__subj_word__next_system_utterance__Bakers	58.4947	0.0000
303	5-phrase_feature__noun_phrases__current_user_utterance__code	58.0558	0.0000
304	2.1-user_action_words.next_user_utterance__moder	57.8243	0.0000
305	4.1-ngram.next_system_utterance__near	57.8025	0.0000
306	4.1-ngram.next_user_utterance__chinese	57.7600	0.0000
307	6-entity_feature__entity__next_system_utterance__5_pounds_MONEY	57.7039	0.0000
308	4.1-ngram.next_system_utterance__particular venue	57.5866	0.0000
309	4.1-ngram.next_system_utterance__looking near	57.5866	0.0000
310	4.1-ngram.next_system_utterance__particular venue example	57.5866	0.0000
311	4.1-ngram.next_system_utterance__looking near particular	57.5866	0.0000
312	4.1-ngram.next_system_utterance__near particular venue	57.5866	0.0000
313	4.1-ngram.next_system_utterance__particular	57.5866	0.0000
314	4.1-ngram.next_system_utterance__venue example	57.5866	0.0000
315	4.1-ngram.next_system_utterance__near particular	57.5866	0.0000
316	5-phrase_feature__noun_phrases__next_system_utterance__indian	57.5829	0.0000
317	5-phrase_feature__noun_phrases__next_system_utterance__central_part	56.6237	0.0000
318	7-syntactic_feature__root_word__next_user_utterance__moderate	56.4892	0.0000
319	6-entity_feature__entity__next_system_utterance__7_pounds_MONEY	56.4348	0.0000
320	5-phrase_feature__noun_phrases__next_system_utterance__bistro	56.3305	0.0000
321	6-entity_feature__entity__next_system_utterance__twelve_NUMBER	56.3261	0.0000
322	7-syntactic_feature__root_word__next_user_utterance__may	56.1517	0.0000
323	8.1-lda_feature.current_user_utterance__topic_21	55.8950	0.0000
324	5-phrase_feature__noun_phrases__next_system_utterance__east_road	55.4707	0.0000
325	6-entity_feature__entity__next_system_utterance__East_Road_LOCATION	55.4707	0.0000
326	7-syntactic_feature__root_word__next_user_utterance__area	55.4166	0.0000
327	5-phrase_feature__noun_phrases__next_system_utterance__cb1	55.1830	0.0000
328	5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb1	55.1830	0.0000
329	2.1-user_action_words.next_user_utterance__cheap	53.8601	0.0000
330	6-entity_feature__entity__next_system_utterance__Turkish_MISC	53.5100	0.0000
331	6-entity_feature__entity__next_system_utterance__176_NUMBER	53.4914	0.0000
332	8.1-lda_feature.next_system_utterance__topic_38	53.4290	0.0000
333	5-phrase_feature__noun_phrases__next_system_utterance__pub	52.7083	0.0000
334	5-phrase_feature__noun_phrases__next_user_utterance__venue	52.2388	0.0000
335	6-entity_feature__entity__next_system_utterance__Thai_MISC	51.9790	0.0000
336	6-entity_feature__entity__next_system_utterance__English_MISC	51.9790	0.0000
337	5-phrase_feature__noun_phrases__next_system_utterance__riverside_area	51.9032	0.0000
338	8.1-lda_feature.next_user_utterance__topic_1	51.6819	0.0000
339	5-phrase_feature__noun_phrases__next_system_utterance__hedges_area	51.5142	0.0000
340	5-phrase_feature__noun_phrases__next_system_utterance__hedges	51.4773	0.0000
341	4.1-ngram.next_system_utterance__care	51.4671	0.0000
342	4.1-ngram.next_system_utterance__don	51.4671	0.0000
343	4.1-ngram.next_system_utterance__don care	51.4671	0.0000
344	5-phrase_feature__noun_phrases__next_system_utterance__hakka	51.3804	0.0000
345	7-syntactic_feature__root_word__next_user_utterance__chinese	50.2716	0.0000
346	7-syntactic_feature__root_word__next_user_utterance__lion	50.0965	0.0000
347	5-phrase_feature__noun_phrases__current_user_utterance__post_code	50.0327	0.0000
348	8.1-lda_feature.next_user_utterance__topic_39	50.0010	0.0000
