id,name,prefix,chi2,pval
9638,b'4.1-ngram.next_system_utterance__newnham',b'4.1',1.1074,0.7753
9639,b'4.1-ngram.current_user_utterance__restaurant drinks',b'4.1',1.1071,0.7754
9640,b'4.1-ngram.current_user_utterance__restaurant dont care',b'4.1',1.1071,0.7754
9641,b'4.1-ngram.next_system_utterance__galleries museum classical',b'4.1',1.1063,0.7755
9642,b'4.1-ngram.next_system_utterance__galleries museum',b'4.1',1.1063,0.7755
9643,b'4.1-ngram.current_user_utterance__expensive',b'4.1',1.1063,0.7755
9644,b'4.1-ngram.next_system_utterance__food providing services',b'4.1',1.1053,0.7758
9645,b'4.1-ngram.next_user_utterance__range important',b'4.1',1.1043,0.7760
9646,b'4.1-ngram.current_user_utterance__priced restaurant new',b'4.1',1.1039,0.7761
9647,b'4.1-ngram.next_user_utterance__kettles',b'4.1',1.1036,0.7762
9648,b'4.1-ngram.next_system_utterance__spanish food',b'4.1',1.1034,0.7763
9649,b'4.1-ngram.current_user_utterance__number area venue',b'4.1',1.1032,0.7763
9650,b'4.1-ngram.current_user_utterance__number phone',b'4.1',1.1032,0.7763
9651,b'4.1-ngram.next_system_utterance__street saint',b'4.1',1.1031,0.7763
9652,b'4.1-ngram.next_system_utterance__andrews street great',b'4.1',1.1031,0.7763
9653,b'4.1-ngram.next_system_utterance__street regency gallery',b'4.1',1.1031,0.7763
9654,b'4.1-ngram.current_user_utterance__venue fen ditton',b'4.1',1.1029,0.7764
9655,b'4.1-ngram.current_user_utterance__need address price',b'4.1',1.1023,0.7765
9656,b'4.1-ngram.current_user_utterance__served',b'4.1',1.1020,0.7766
9657,b'4.1-ngram.next_system_utterance__trinity church lynne',b'4.1',1.1007,0.7769
9658,b'4.1-ngram.current_user_utterance__ok ah',b'4.1',1.0981,0.7775
9659,b'4.1-ngram.current_user_utterance__mexican restaurant addenbrookes',b'4.1',1.0979,0.7776
9660,b'4.1-ngram.next_system_utterance__located christ lane',b'4.1',1.0964,0.7779
